epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9828,1.25002,1.63476,1.11027,0.93195,0.80324,0.87613,0.53638,1.33813,1.298,1.13903,0.000663946,0.000663946,0.000663946
2,92.5817,1.25414,0.96145,1.10199,0.88008,0.80221,0.86858,0.53235,1.28668,0.94363,1.12452,0.00127792,0.00127792,0.00127792
3,148.167,1.2442,0.8539,1.10164,0.94921,0.83233,0.90518,0.58542,1.23526,0.84983,1.09864,0.00183909,0.00183909,0.00183909
4,204.311,1.23583,0.80792,1.11464,0.93936,0.85101,0.91284,0.60058,1.2393,0.7422,1.12219,0.0017624,0.0017624,0.0017624
5,261.831,1.19258,0.74214,1.09058,0.925,0.82996,0.8931,0.58816,1.22417,0.77704,1.10635,0.0016832,0.0016832,0.0016832
6,319.564,1.17237,0.69855,1.07005,0.94673,0.8634,0.92446,0.6227,1.19191,0.68603,1.08386,0.001604,0.001604,0.001604
7,377.08,1.15935,0.67852,1.06894,0.93875,0.87935,0.92596,0.63031,1.1638,0.63737,1.0646,0.0015248,0.0015248,0.0015248
8,455.479,1.15084,0.65592,1.05261,0.94229,0.87611,0.93203,0.63863,1.14059,0.61293,1.05412,0.0014456,0.0014456,0.0014456
9,552.571,1.13888,0.64197,1.04586,0.95946,0.88583,0.93903,0.64466,1.13677,0.60176,1.06596,0.0013664,0.0013664,0.0013664
10,644.789,1.1112,0.61637,1.04951,0.95481,0.88502,0.93616,0.63841,1.15928,0.58706,1.06947,0.0012872,0.0012872,0.0012872
11,734.726,1.11135,0.60055,1.04508,0.95885,0.90574,0.95394,0.65287,1.13856,0.55291,1.0541,0.001208,0.001208,0.001208
12,836.431,1.09707,0.5818,1.03125,0.97012,0.8915,0.94552,0.65251,1.13145,0.5655,1.05702,0.0011288,0.0011288,0.0011288
13,893.413,1.07559,0.57534,1.02603,0.95715,0.91012,0.95418,0.65326,1.13127,0.53999,1.04173,0.0010496,0.0010496,0.0010496
14,950.39,1.06998,0.56653,1.01812,0.96291,0.90364,0.94911,0.65476,1.09887,0.52285,1.044,0.0009704,0.0009704,0.0009704
15,1007.2,1.04419,0.54237,1.01221,0.94944,0.91232,0.95485,0.67099,1.09265,0.50768,1.03338,0.0008912,0.0008912,0.0008912
16,1084.5,1.03871,0.50224,1.02133,0.96151,0.91028,0.9498,0.66828,1.06618,0.51839,1.02489,0.000812,0.000812,0.000812
17,1141.69,1.01544,0.48371,1.0073,0.9693,0.91741,0.95781,0.67994,1.05431,0.4939,1.02021,0.0007328,0.0007328,0.0007328
18,1200.1,1.00854,0.47779,1.00564,0.96029,0.92036,0.94954,0.6779,1.05973,0.49688,1.0214,0.0006536,0.0006536,0.0006536
19,1257.98,0.98935,0.45627,0.99303,0.96268,0.91905,0.95619,0.68661,1.03339,0.46649,1.00975,0.0005744,0.0005744,0.0005744
20,1315.11,0.98858,0.44871,0.99485,0.95355,0.93079,0.95804,0.68811,1.02473,0.48078,1.00482,0.0004952,0.0004952,0.0004952
21,1372.12,0.96969,0.43795,0.98822,0.9641,0.91741,0.95822,0.69241,1.01444,0.4566,1.00409,0.000416,0.000416,0.000416
22,1429.2,0.95026,0.42772,0.98049,0.9638,0.92707,0.96129,0.69827,1.01156,0.43594,0.99909,0.0003368,0.0003368,0.0003368
23,1489.5,0.94119,0.41133,0.97279,0.96293,0.93603,0.96136,0.70111,0.99987,0.43213,0.99648,0.0002576,0.0002576,0.0002576
24,1546.52,0.92697,0.3984,0.96883,0.96401,0.93198,0.96006,0.70091,0.99653,0.42491,0.99722,0.0001784,0.0001784,0.0001784
25,1606.47,0.9218,0.39754,0.96499,0.964,0.93223,0.96021,0.7052,0.98968,0.42074,0.99182,9.92e-05,9.92e-05,9.92e-05
